nombre;cod_ine;poblacion
El Tanque;38044;2784
La Guancha;38018;5562
San Bartolomé;35018;19200
Yaiza;35034;17415
Tacoronte;38043;24652
Villa de Mazo;38053;4950
Icod de los Vinos;38022;23971
Breña Baja;38009;5963
Santa Úrsula;38039;15285
Mogán;35012;20845
San Cristóbal de La Laguna;38023;159034
Tinajo;35029;6759
Alajeró;38003;2056
Agüimes;35002;32643
Los Llanos de Aridane;38024;20189
Breña Alta;38008;7305
Gáldar;35009;24678
Pájara;35015;21271
Puerto del Rosario;35017;43390
Santiago del Teide;38040;11972
Santa Brígida;35021;18510
Tuineje;35030;15967
Puerto de la Cruz;38028;30849
San Bartolomé de Tirajana;35019;53912
Fasnia;38012;2984
Frontera;38013_2007;4465
Arico;38005;9020
Moya;35013;7889
Firgas;35008;7669
Tijarafe;38047;2640
El Sauzal;38041;9145
Granadilla de Abona;38017;54942
La Matanza de Acentejo;38025;9092
Los Silos;38042;4679
Haría;35010;5507
Las Palmas de Gran Canaria;35016;378027
San Sebastián de La Gomera;38036;9501
Valleseco;35032;3733
Vallehermoso;38050;2935
Buenavista del Norte;38010;4710
Fuencaliente de La Palma;38014;1841
Arona;38006;85249
Santa Cruz de Tenerife;38038;209395
Valverde;38048;5165
Arrecife;35004;64826
Agaete;35001;5568
Güímar;38020;21536
La Aldea de San Nicolás;35020;7506
La Oliva;35014;29099
Barlovento;38007;1944
San Andrés y Sauces;38033;4219
El Rosario;38032;17866
Puntagorda;38029;2320
Teguise;35024;23881
Arucas;35006;38601
San Juan de la Rambla;38034;4908
Hermigua;38021;1838
La Victoria de Acentejo;38051;9228
Garafía;38016;1916
Vega de San Mateo;35033;7782
Puntallana;38030;2605
El Paso;38027;7967
El Pinar de El Hierro;38901;2016
Santa María de Guía de Gran Canaria;35023;13948
Santa Cruz de La Palma;38037;15441
Tegueste;38046;11344
Antigua;35003;13523
Candelaria;38011;28694
Arafo;38004;5712
Garachico;38015;4936
Los Realejos;38031;37207
La Orotava;38026;42454
Vilaflor de Chasna;38052;1823
San Miguel de Abona;38035;22606
Tejeda;35025;1844
Agulo;38002;1113
Adeje;38001;50167
Tías;35028;21433
Artenara;35005;1032
Guía de Isora;38019;22301
Valsequillo de Gran Canaria;35031;9667
Valle Gran Rey;38049;4719
Ingenio;35011;32354
Teror;35027;12799
Tazacorte;38045;4575
Santa Lucía de Tirajana;35022;75677
Telde;35026;102487
Betancuria;35007;816
